,artist_name,track_name,track_id,popularity,num_artists,release_month,release_weekday,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_len,artist_len
3801,Drake,Draft Day,3W3FVHEDetkiRkkGKDmdir,61,1,8,5,0.673,0.81,8,-3.793,1,0.36,0.0322,0.0,0.133,0.564,166.084,266325,4,9,5
3802,Kota the Friend,Chicago Diner,7xDy9Jii27dcxtdXWugbqz,60,1,5,3,0.84,0.574,6,-7.946,1,0.054,0.644,9.65e-05,0.107,0.386,133.057,175038,4,13,15
3803,Céline Dion,Say Yes,2ngyOpuAkiHKwGokCDZK7b,59,1,11,5,0.306,0.161,11,-12.671,0,0.0453,0.665,0.0,0.107,0.141,188.002,212400,4,7,11
3804,MadeinTYO,Stop Calling (feat. Key Glock & Tay Money),570fgRkd58jDYC4uYAg74V,60,3,9,5,0.929,0.437,10,-5.98,1,0.41,0.233,3.26e-06,0.096,0.38,140.038,193747,4,42,9
3805,Espen Holmén,Someday,21c3IxNNDGu9F7buYHtU6n,64,1,8,4,0.697,0.161,2,-15.553,1,0.085,0.993,0.925,0.112,0.288,75.781,276543,3,7,12
3806,The Head and the Heart,I Found Out,2IxOGK5JJIhi2Alx5BA7oe,61,1,5,5,0.605,0.713,2,-5.353,1,0.0295,0.0131,0.0,0.445,0.458,103.342,233039,4,11,22
3807,Cavetown,Hug All Ur Friends,3qlTUH2X7flvIYVqH3QGyS,61,1,3,4,0.612,0.178,7,-13.082,1,0.0439,0.821,0.0,0.0709,0.0855,129.958,335093,3,18,8
3808,Kidz Bop Kids,Easier,5xCqjI9lDCfsmqvxEjs6A1,40,1,11,5,0.708,0.488,2,-7.084,0,0.0938,0.239,0.0,0.0911,0.785,88.064,161067,4,6,13
3809,BLACKPINK,Kick It,6Ks1e4WEUeOGgnTGZ4IMXo,65,1,4,5,0.764,0.787,1,-3.647,0,0.0445,0.0153,0.0,0.0736,0.381,124.949,191226,4,7,9
3810,Blue Wednesday,Murmuration,4pI7VTiN59CZnGJUgVZPoy,64,2,3,3,0.686,0.373,11,-16.007,0,0.118,0.532,0.926,0.075,0.203,83.203,156000,4,11,14
3811,Yungeen Ace,Freestyle,3debvatn8F7zbMUmqxadSL,58,1,8,1,0.828,0.642,5,-7.53,1,0.265,0.0124,0.0,0.264,0.605,130.036,135901,4,9,11
3812,Céline Dion,Baby,5x5TmxjilpvdOkdM2JgTeI,58,1,11,5,0.647,0.549,1,-6.499,1,0.0302,0.177,0.0,0.0917,0.495,89.964,214987,4,4,11
3813,Big K.R.I.T.,Prove It (feat. J. Cole),6z7jvqBQtyNLxaKALqT67c,60,2,7,5,0.775,0.67,7,-7.95,1,0.251,0.265,3.01e-05,0.106,0.516,147.9,202184,4,24,12
3814,Maren Morris,A Song for Everything,69fiYWZsqPB7BVhJJODKQJ,61,1,3,5,0.578,0.569,1,-7.862,1,0.0356,0.159,0.0,0.105,0.187,100.038,194453,4,21,12
3815,ROLE MODEL,that's just how it goes,4J4rJEaVpgr2tHwX6Jd13H,60,1,11,3,0.778,0.629,7,-5.011,0,0.031,0.189,0.000293,0.149,0.48,108.023,166400,4,23,10
3816,Tee Grizzley,Locked Up,4k4RSGqkCRnQBbivzeCu2H,59,1,6,5,0.766,0.673,11,-5.15,1,0.345,0.295,0.0,0.0889,0.541,144.859,203586,4,9,12
3817,Layton Greene,I Love You,0jB5CKm143EmVerqXlIBx5,60,1,8,5,0.463,0.531,0,-6.772,1,0.294,0.482,0.0,0.123,0.533,141.894,224059,4,10,13
3818,Céline Dion,Nobody's Watching,7dVNZOaE01cuKYtt6bwshE,58,1,11,5,0.525,0.573,6,-7.726,0,0.35,0.234,0.0,0.105,0.651,78.753,192307,4,17,11
3819,gnash,dear insecurity (feat. ben abraham),3fxldvXG3wRdUO6XmdO9pE,63,2,1,5,0.659,0.348,5,-8.227,1,0.151,0.519,0.0,0.339,0.582,84.376,218929,4,35,5
3820,TWICE,HAPPY HAPPY,6ZMcwaCE15KXhjsAd5M3Vd,50,1,11,3,0.609,0.932,10,-1.562,1,0.145,0.173,0.000946,0.396,0.755,179.995,206974,4,11,5
3821,CARYS,Princesses Don't Cry,2j3BmbOK0ZElUhsKH7q7eh,72,1,10,5,0.626,0.595,0,-4.975,0,0.0288,0.285,0.0,0.0859,0.65,74.986,212107,4,20,5
3822,Mingmei Hsueh,Can You Feel The Love Tonight,6KQVHlSUKdIEO91qTNm6Uz,64,1,8,7,0.404,0.0251,9,-29.059,1,0.0413,0.993,0.96,0.108,0.532,98.777,130625,4,29,13
3823,9lokknine,Trap Do (feat. Rich The Kid),6e88hougGOSMqhksOBIwkl,60,2,10,5,0.873,0.578,2,-6.354,1,0.336,0.0318,0.0,0.102,0.702,100.011,172840,4,28,9
3824,Junior H,La M4,4grxcNFR2p7rb0Lq1uEFRO,61,1,10,4,0.742,0.506,2,-5.864,0,0.0262,0.347,0.0,0.223,0.451,104.983,165406,3,5,8
3825,Lauren Daigle,Look Up Child - Recorded at Sound Stage Studios Nashville,4riVBa7E3aPBsQVeDBBWGy,60,1,2,3,0.716,0.59,2,-7.637,1,0.0618,0.51,0.000106,0.0835,0.568,91.003,214573,4,57,13
3826,Breaking Benjamin,So Cold - Aurora Version,5Tf4MPGrj8WP554gwvath3,62,1,11,5,0.545,0.911,1,-2.652,1,0.0367,0.000558,0.000289,0.104,0.392,76.571,272546,4,24,17
3827,Judah & the Lion,pictures feat. Kacey Musgraves,1zZIVe9x0JhdhpuQjLTjIM,59,2,8,3,0.567,0.542,2,-6.64,1,0.0309,0.309,0.000342,0.0734,0.229,125.16,253869,4,30,16
3828,DeathbyRomy,Dangerous (feat. blackbear),7bw4hAqx7oUwvIFKOn0Acq,63,2,7,5,0.43,0.626,9,-6.219,0,0.0491,0.0158,0.0,0.38,0.613,99.702,126479,4,27,11
3829,Rexx Life Raj,Moonwalk,382qrGyccNifmqSuNgnFEk,62,2,9,4,0.632,0.39,9,-16.784,0,0.343,0.33,0.0,0.0923,0.728,149.826,168864,4,8,13
3830,Kidz Bop Kids,I Don't Care,2iJJ6xdKdaLkFB6qVNaFsS,39,1,11,5,0.728,0.639,9,-5.875,1,0.0429,0.223,1.21e-06,0.103,0.948,102.003,221960,4,12,13
3831,Craig Xen,RUN IT BACK!,7dAjrcykxdDA87r4zPUTEU,61,2,6,3,0.867,0.403,6,-8.996,0,0.274,0.0535,7.73e-06,0.185,0.38,138.001,126798,4,12,9
3832,ROSALÍA,Milionària,2K3bjojp1sCLdMMoO5lJ2p,74,1,7,3,0.857,0.574,8,-6.441,1,0.416,0.602,1.24e-06,0.0663,0.906,116.008,138371,4,10,7
3833,Sada Baby,Bloxk Party (feat. Drego),2y6T22z0VqKK1R8UwI0MvJ,58,2,1,5,0.655,0.555,10,-7.823,0,0.111,0.0491,0.0,0.116,0.18,172.047,207830,4,25,9
3834,Chieloka,Hiraeth,5DNpEwASbbGXz9wbr0ex6v,65,1,6,5,0.0926,0.00624,7,-33.736,0,0.0394,0.989,0.867,0.106,0.0646,73.61,181000,4,7,8
3835,Banda Carnaval,Pídeme,3lWG8iEb1q2lXAq7N8lhD5,66,1,6,5,0.706,0.598,8,-2.98,1,0.0338,0.251,0.0,0.2,0.718,136.298,194640,4,6,14
3836,Mariah,Perreito,5LsUdPeqmKVGlPJre2sIRt,74,1,6,5,0.728,0.611,0,-3.614,1,0.0922,0.183,0.154,0.124,0.526,180.014,121240,4,8,6
3837,Free Nationals,Eternal Light,5NM8v7DOexgrrxefEnKR2V,62,2,10,2,0.793,0.465,5,-8.134,0,0.271,0.648,0.000132,0.0871,0.898,141.85,193740,4,13,14
3838,Jelly Roll,Same Asshole,1b4KQGFYbRqRe2Bx818Kqb,58,1,4,1,0.702,0.741,2,-6.987,1,0.104,0.0131,0.0,0.0645,0.468,152.021,206286,4,12,10
3839,Kidz Bop Kids,ME!,4wK3q7Byj42N9PmfdsdDuD,39,1,11,5,0.553,0.841,0,-5.938,1,0.0512,0.0781,0.0,0.108,0.55,182.089,192373,4,3,13
3840,Action Pack,Choppas on Choppas (feat. NLE Choppa),5hMoQ4CXKaqIT8oyeC0QDx,59,2,7,5,0.8,0.566,7,-7.32,1,0.237,0.00135,0.0,0.248,0.528,135.037,173560,4,37,11
3841,Colt Ford,Slow Ride,1vUsX6TpOfLbvde0Jcgzz2,59,2,8,5,0.672,0.772,11,-4.732,0,0.0463,0.00278,0.0,0.188,0.635,142.014,174635,4,9,9
3842,Catie Turner,Home,54DyAg16LVrEZflunc6UDY,61,1,6,5,0.36,0.177,11,-12.024,0,0.0345,0.927,0.0,0.0911,0.323,112.997,207837,4,4,12
3843,Ellie Goulding,Sixteen - Don Diablo Remix,3jwQwGVERUXo7eaAgL1xAo,69,2,5,5,0.493,0.773,5,-3.791,0,0.157,0.429,7.07e-06,0.0807,0.301,123.149,193548,4,26,14
3844,King Von,"Crazy Story, Pt. 3",23TwR29GSeJBfXnXhmDlwR,58,1,9,5,0.729,0.73,11,-5.14,0,0.261,0.00165,4.33e-05,0.118,0.41,156.953,191399,4,18,8
3845,Audrey Mika,Y U Gotta B Like That,2Wq9wjMTn2qD1zlfRYJtv8,62,1,6,7,0.727,0.401,9,-6.696,1,0.0657,0.309,0.0,0.0572,0.793,91.999,155054,4,21,11
3846,Dijon,Drunk,2cUV93Y7FLGR42ycRRf0bL,60,1,2,3,0.472,0.431,10,-6.593,1,0.0614,0.0687,0.0,0.215,0.284,123.799,191750,4,5,5
3847,Travis Greene,Won't Let Go,2LDslUaUIvhF0eJPLqKqzM,60,1,8,5,0.46,0.51,0,-7.814,1,0.0571,0.487,0.0,0.318,0.235,185.765,236769,3,12,13
3848,WALK THE MOON,Timebomb,6GqRl2u7LIW93T8Vi5LnXU,63,1,1,5,0.583,0.778,5,-4.766,1,0.0403,0.000276,0.0,0.621,0.446,122.053,218589,4,8,13
3849,Mereba,Sandstorm (feat. JID),1NlWBpNYAnFT7gMGyC0Y1M,61,2,2,3,0.637,0.512,2,-10.027,1,0.0978,0.59,0.000464,0.0712,0.33,109.492,179027,5,21,6
3850,Russ,CROWN,4STskVkFJFtNbjuZmDe26C,61,1,9,5,0.721,0.586,4,-5.852,0,0.0557,0.552,0.0,0.131,0.845,75.205,155308,4,5,4
3851,AJR,Turning Out Pt. ii,5MKfN1QC8ZWKeQGDFJSxaq,57,1,4,5,0.431,0.19,9,-9.362,1,0.0371,0.859,0.0,0.1,0.128,76.925,223201,4,18,3
3852,Shaman,In Light Rain With Thunder Closing In,4nIlb1h6Iu7i8auJyFModK,61,1,9,2,0.0775,0.329,1,-23.286,1,0.0668,0.000212,0.862,0.229,0.0935,76.199,141000,4,37,6
3853,Calma,Remedy,7uXuh0yrYHyOXV3S8dgjGn,60,1,8,6,0.296,0.16,2,-23.075,1,0.0432,0.964,0.914,0.103,0.0391,62.824,169367,3,6,5
3854,Mr Eazi,Tony Montana,5dl2O9ACpsfplIikHO0p6y,60,2,11,3,0.598,0.708,3,-4.363,0,0.284,0.419,0.0,0.0962,0.724,103.056,153993,4,12,7
3855,Kidz Bop Kids,Close To Me,2VKacNvg7haZMLks1dUJpV,38,1,11,5,0.534,0.79,1,-5.356,0,0.0402,0.155,0.0,0.26,0.45,144.089,184333,4,11,13
3856,NGHTMRE,REDLIGHT,0waK9D203FQO5FpMmfjxBw,63,2,3,4,0.611,0.931,4,-4.189,0,0.354,0.198,0.0,0.444,0.225,129.903,135380,3,8,7
3857,The 1975,People,39sJbSgJmIrB9J1pkRbpaX,65,1,8,4,0.492,0.926,0,-5.257,1,0.188,3.74e-05,0.0187,0.475,0.479,149.957,160008,4,6,8
3858,Kidz Bop Kids,Who Do You Love,519eXuXDOHsb7SAIkBWEOy,38,1,11,5,0.615,0.819,5,-5.191,1,0.0372,0.0485,0.0,0.293,0.573,140.041,204107,4,15,13
3859,Drake,Little Bit (feat. Lykke Li),524wvipGqxPKYWxkjf9y46,61,2,2,5,0.758,0.888,11,-4.899,0,0.0374,0.0999,0.0336,0.661,0.771,120.392,230484,4,27,5
3860,Grupo 360,Seguimos Laborando - En Vivo,464F0JTwP8PjLQocetUEEE,64,2,6,5,0.609,0.537,7,-9.26,0,0.0543,0.198,1.24e-05,0.319,0.811,92.476,201015,4,28,9
3861,Big K.R.I.T.,Ballad of the Bass (My Sub V),70hi6lIgmlvSfpsyL0luSl,56,1,11,5,0.767,0.67,5,-5.041,0,0.246,0.0392,4.16e-05,0.127,0.278,165.004,249455,4,29,12
3862,Gracie Abrams,Stay,0Uon5NsSAkBDx69XYOaQ5P,63,1,11,4,0.656,0.353,10,-10.403,1,0.0447,0.875,0.0,0.133,0.466,113.973,177153,4,4,13
3863,Justnormal,Dark Wood,4NQvsvvX5UFFXZpXj9hkvA,62,1,5,5,0.724,0.24,6,-13.317,1,0.275,0.822,0.415,0.115,0.461,173.945,129345,4,9,10
3864,Piano Novel,Connected Colors (Solo Piano Version),73Q5VDA6CXofjBtGGWEZEQ,65,1,5,5,0.2,0.0623,3,-24.922,0,0.0474,0.992,0.941,0.116,0.101,122.392,168587,4,37,11
3865,Labrinth,Formula,6EtKlIQmGPB9SX8UjDJG5s,64,1,10,5,0.572,0.664,11,-6.069,1,0.0409,0.0415,0.0553,0.146,0.226,144.654,91870,4,7,8
3866,Johann Sebastian Bach,"Keyboard Concerto No. 1 in D Minor, BWV 1052: I. Allegro",5f8r6iIqLy02zQ6tAMexJV,39,2,11,5,0.511,0.198,2,-20.634,0,0.0327,0.991,0.831,0.133,0.525,106.1,444787,4,56,21
3867,Natanael Cano,El de la Codeina,3xb1Hphyjz8grn5nG5oX7W,45,1,11,5,0.798,0.776,11,-2.24,0,0.0319,0.273,0.0,0.261,0.822,107.322,176865,1,16,13
