,artist_name,track_name,track_id,popularity,num_artists,release_month,release_weekday,artist_followers,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_len,artist_len
1786,Bea Miller,FEELS LIKE HOME,0T9un1tCka7l3lwsJmmLLU,67,2,8,5,1396186,77,0.817,0.445,4,-7.21,0,0.103,0.376,0.0,0.107,0.273,97.024,211522,4,15,10
1787,2KBABY,Old Streets,7JVfHOV7ylgOUKaHnPMafs,65,1,6,4,7678,57,0.689,0.362,2,-12.042,1,0.617,0.509,0.0,0.168,0.6,126.677,105600,5,11,6
1788,Sech,Solita,0tJCo71s7HT9Mu5Z4juuLw,79,3,4,5,1782270,94,0.679,0.831,2,-1.866,1,0.109,0.159,1.1e-06,0.097,0.88,88.792,219520,4,6,4
1789,Cali Y El Dandee,Tequila Sunrise,1sD32hk8V2vR4ME7M0rPT5,77,2,9,5,2230452,76,0.784,0.855,0,-1.924,1,0.0584,0.121,0.0,0.0483,0.707,93.979,234307,4,15,16
1790,Rod Wave,Paint The Sky Red,5SlW8zZXwitcPKHr8pW51q,63,1,6,5,125572,76,0.721,0.512,6,-6.579,1,0.147,0.112,0.0,0.0911,0.709,159.875,136072,4,17,8
1791,Benette,Lily's Cradle,4UlarjdicLUPbdssOxWbYX,71,1,5,1,91,57,0.368,0.00892,10,-29.555,1,0.05,0.99,0.911,0.102,0.287,63.639,161267,3,13,7
1792,Miranda Lambert,Bluebird,0kPeZAyIhIfeZNrtfjJGDB,65,1,11,5,2082697,75,0.661,0.633,7,-5.986,1,0.0349,0.038,2.82e-06,0.124,0.613,81.984,209760,4,8,15
1793,Megan Thee Stallion,Realer,3qVNNJ7f9RQeNR4iPIeS0c,64,1,5,5,531768,81,0.934,0.631,1,-3.834,1,0.317,0.127,0.0,0.0955,0.437,117.064,149704,4,6,19
1794,Solange,Stay Flo,6GCIYIWUBSLontW6divqsw,68,1,3,5,902568,69,0.823,0.558,9,-7.119,1,0.0278,0.397,2.03e-05,0.0821,0.674,155.974,175707,4,8,7
1795,Aries,SANTA MONICA,2h3jBh2kDDRSDbwzJqelFx,66,1,4,4,116018,68,0.708,0.667,4,-5.854,1,0.0356,0.16,0.000683,0.183,0.616,145.976,165034,4,12,5
1796,Fivio Foreign,Big Drip,6SKdkXUDJjxiCjKYLsg19y,64,1,6,3,3849,55,0.815,0.638,0,-6.615,1,0.373,0.188,0.0,0.188,0.503,139.981,168359,4,8,13
