,popularity,num_artists,release_month,release_weekday,artist_followers,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_len,artist_len,duration
5266,0,1,1,5,57829,61,0.778,0.29100000000000004,0,-10.355,1,0.106,0.84,8.23e-05,0.66,0.353,142.015,4,12,6,189.296
5267,1,1,10,3,9,54,0.40700000000000003,0.0299,9,-29.699,1,0.036000000000000004,0.9940000000000001,0.878,0.0922,0.26899999999999996,119.75,4,20,13,136.833
5268,0,1,6,5,152693,65,0.664,0.5479999999999999,0,-7.642,1,0.0461,0.179,0.00406,0.20800000000000002,0.20600000000000002,128.991,4,7,15,165.578
5269,1,1,8,5,4097276,86,0.619,0.648,2,-6.115,0,0.20600000000000002,0.303,0.000434,0.12,0.578,167.99900000000002,4,11,8,196.187
5270,0,1,5,5,1476635,75,0.562,0.19899999999999998,9,-10.4,1,0.0574,0.917,0.0,0.22899999999999998,0.4,134.039,4,27,15,174.653
5271,0,1,4,5,198884,68,0.604,0.6809999999999999,0,-5.99,0,0.0344,0.00295,0.000315,0.0823,0.6659999999999999,80.563,4,11,6,207.107
5272,0,1,11,5,910800,71,0.415,0.5429999999999999,7,-8.995,1,0.0284,0.036000000000000004,0.128,0.32799999999999996,0.18899999999999997,90.025,4,43,6,373.418
5273,0,1,4,5,828723,79,0.755,0.532,11,-7.287999999999999,0,0.0497,0.156,0.0,0.297,0.363,124.916,4,13,14,203.16
5274,1,2,1,5,7246,63,0.622,0.608,4,-8.494,0,0.0597,0.354,0.0,0.131,0.205,139.966,4,38,3,161.35
5275,0,3,11,1,163699,72,0.7509999999999999,0.727,10,-9.789,0,0.0304,0.0442,0.0333,0.1,0.28,119.98299999999999,4,20,11,256.0
5276,0,1,11,5,2404431,76,0.321,0.927,11,-4.637,1,0.0423,0.0896,0.00345,0.982,0.716,101.209,4,25,14,385.093
5277,0,1,11,5,2404431,76,0.239,0.903,6,-5.25,1,0.0671,0.00122,0.00105,0.102,0.221,87.824,4,14,14,306.66700000000003
5278,0,1,11,5,2404431,76,0.604,0.934,8,-4.192,1,0.0605,0.000239,0.0194,0.165,0.7859999999999999,122.006,4,20,14,208.947
5279,0,1,11,5,1404457,79,0.758,0.58,8,-6.757000000000001,0,0.0986,0.373,0.0,0.381,0.635,121.96799999999999,4,8,8,242.81300000000002
5280,0,1,11,5,2404431,76,0.413,0.865,2,-5.126,1,0.0481,0.00569,0.24600000000000002,0.312,0.593,171.048,4,17,14,177.53300000000002
5281,0,1,5,5,531768,81,0.917,0.897,10,-2.2969999999999997,0,0.11900000000000001,0.00825,0.0,0.239,0.31,92.975,4,20,19,124.803
5282,0,2,7,5,698613,77,0.6729999999999999,0.503,0,-6.67,1,0.16899999999999998,0.41100000000000003,0.0,0.319,0.32799999999999996,91.01100000000001,4,40,12,206.50900000000001
5283,0,2,10,5,1462853,82,0.8170000000000001,0.7140000000000001,1,-6.18,1,0.0464,0.12300000000000001,2.59e-06,0.153,0.833,100.01899999999999,4,24,8,175.013
