,popularity,num_artists,release_month,release_weekday,artist_followers,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_len,artist_len,duration
7371,1,3,11,5,2942677,1,0.41200000000000003,0.21600000000000003,9,-17.237000000000002,1,0.0557,0.963,0.0,0.0864,0.326,94.02,4,71,20,2.3431166666666665
7372,1,4,11,5,2942677,1,0.256,0.0818,4,-19.637999999999998,1,0.0528,0.9840000000000001,2.6700000000000002e-05,0.235,0.0815,168.385,3,19,20,2.792666666666667
7373,1,4,11,5,2942677,1,0.45299999999999996,0.0632,9,-17.202,1,0.0639,0.97,0.0,0.0714,0.397,111.742,4,39,20,0.9533333333333334
7374,1,3,11,5,2942677,1,0.732,0.235,0,-18.227999999999998,1,0.0397,0.9490000000000001,0.877,0.34700000000000003,0.775,110.993,4,41,20,1.4684333333333335
7375,1,4,11,5,2942677,1,0.606,0.057,5,-20.291,1,0.0447,0.958,0.00164,0.153,0.5589999999999999,117.915,4,34,20,2.1328666666666667
7376,1,3,11,5,2942677,1,0.618,0.299,0,-15.805,1,0.0393,0.88,0.585,0.163,0.456,108.68299999999999,4,42,20,1.2104333333333335
7377,1,2,11,5,2942677,1,0.35100000000000003,0.136,9,-15.765,0,0.0486,0.968,0.745,0.0819,0.32799999999999996,89.24600000000001,4,97,20,6.492233333333333
7378,1,3,11,5,2942677,1,0.626,0.243,3,-20.724,1,0.0425,0.975,0.983,0.486,0.695,116.01799999999999,4,46,20,1.1873166666666668
7379,1,4,11,5,2942677,1,0.25,0.18100000000000002,0,-16.913,1,0.0488,0.9670000000000001,0.000213,0.0873,0.153,171.015,5,41,20,4.893783333333333
7380,1,2,11,5,2942677,1,0.28600000000000003,0.0714,9,-19.064,1,0.055,0.98,0.545,0.0883,0.321,80.753,3,89,20,9.237116666666665
7381,1,3,11,5,2942677,1,0.39799999999999996,0.42200000000000004,7,-15.481,1,0.0357,0.953,0.825,0.0887,0.534,141.41299999999998,4,65,20,3.425116666666667
